scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Video Path
20,GPTimage,66.09,5.61,20.45,8.82,4.03,bummer,bummer,curling,"Jamie was excited for the curling championship at the local ice rink.But when Jamie arrived, they realized their favorite curling broom was missing.Jamie searched everywhere but couldn't find it, feeling the weight of disappointment.Sitting down on the bench, Jamie thought to themselves, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_20_GPTimage.mp4
21,DallE3,65.5,5.16,22.22,3.94,8.65,bummer,bummer,class,"Alex walked into class, excited to share his group project with everyone.But when he checked his backpack, the project was missing, and his heart sank.His friends looked at him, confused, as the teacher asked for the project.Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_21_DallE3.mp4
21,GPTimage,174.9,5.16,25.54,107.75,4.67,bummer,bummer,class,"Alex walked into class, excited to share his group project with everyone.But when he checked his backpack, the project was missing, and his heart sank.His friends looked at him, confused, as the teacher asked for the project.Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_21_GPTimage.mp4
22,DallE3,69.11,8.08,24.06,5.45,9.79,bummer,bummer,curling,"In the bustling ice rink, Alex was excited to show off his curling skills to his teammates.As he slid the stone down the ice, it veered off course and bumped into a teammate's stone, disrupting their carefully planned move.His teammates looked a bit disappointed, and Alex felt a lump in his throat.He asked himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_22_DallE3.mp4
22,GPTimage,79.48,8.08,21.73,10.33,4.56,bummer,bummer,curling,"In the bustling ice rink, Alex was excited to show off his curling skills to his teammates.As he slid the stone down the ice, it veered off course and bumped into a teammate's stone, disrupting their carefully planned move.His teammates looked a bit disappointed, and Alex felt a lump in his throat.He asked himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_22_GPTimage.mp4
23,DallE3,57.46,6.99,16.43,3.79,9.17,bummer,bummer,field trip,"Emily eagerly boarded the school bus for the field trip, excited to visit the aquarium with her classmates.As they arrived, she realized she had left her lunch at home, causing her stomach to growl in anticipation of a long day without food.Her friend, Jake, offered to share his lunch, but Emily felt bad for forgetting and didn't want to take his food.Wondering how she could solve this, Emily thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_23_DallE3.mp4
23,GPTimage,68.63,6.99,21.08,8.61,5.46,bummer,bummer,field trip,"Emily eagerly boarded the school bus for the field trip, excited to visit the aquarium with her classmates.As they arrived, she realized she had left her lunch at home, causing her stomach to growl in anticipation of a long day without food.Her friend, Jake, offered to share his lunch, but Emily felt bad for forgetting and didn't want to take his food.Wondering how she could solve this, Emily thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_23_GPTimage.mp4
24,DallE3,80.26,7.17,15.3,26.24,8.39,bummer,bummer,field trip,"Ella was so excited to visit the science museum on her class field trip.As they arrived, she realized she had left her permission slip at home.Without it, she might not be allowed inside with her classmates.Ella wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_24_DallE3.mp4
24,GPTimage,92.07,7.17,23.16,32.19,3.96,bummer,bummer,field trip,"Ella was so excited to visit the science museum on her class field trip.As they arrived, she realized she had left her permission slip at home.Without it, she might not be allowed inside with her classmates.Ella wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_24_GPTimage.mp4
25,DallE3,58.49,6.58,14.44,3.93,7.79,bummer,bummer,game,"Alex was excited to play soccer with his friends at the park.Once there, he realized he had forgotten his soccer ball at home.His friends suggested they wait for him while he went back to get it.As he started to leave, Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_25_DallE3.mp4
25,GPTimage,67.38,6.58,25.76,7.84,4.06,bummer,bummer,game,"Alex was excited to play soccer with his friends at the park.Once there, he realized he had forgotten his soccer ball at home.His friends suggested they wait for him while he went back to get it.As he started to leave, Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_25_GPTimage.mp4
26,DallE3,55.87,5.1,18.52,5.88,8.6,bummer,bummer,lacrosse,"Ben was excited for his big lacrosse game after school today.His friend Alex promised to bring his lucky lacrosse gloves to boost their chances of winning.Just before the game, Alex realized he had left the gloves at home.Ben wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_26_DallE3.mp4
26,GPTimage,66.1,5.1,17.76,11.34,3.89,bummer,bummer,lacrosse,"Ben was excited for his big lacrosse game after school today.His friend Alex promised to bring his lucky lacrosse gloves to boost their chances of winning.Just before the game, Alex realized he had left the gloves at home.Ben wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_26_GPTimage.mp4
27,DallE3,53.59,4.9,17.23,4.76,7.91,bummer,bummer,birthday party,"Emma was excited for her birthday party at the park with all her friends.As the party started, dark clouds gathered and it began to rain heavily.Emma’s friends started to leave as the rain wouldn’t stop.Emma thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_27_DallE3.mp4
27,GPTimage,63.66,4.9,18.79,10.13,3.68,bummer,bummer,birthday party,"Emma was excited for her birthday party at the park with all her friends.As the party started, dark clouds gathered and it began to rain heavily.Emma’s friends started to leave as the rain wouldn’t stop.Emma thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_27_GPTimage.mp4
28,DallE3,59.83,4.65,19.97,6.84,8.2,bummer,bummer,swimming,"Lucas eagerly jumps into the pool, ready for his swim lesson.As he reaches the surface, he realizes his new goggles slipped off and floated away.He feels a bit embarrassed and frustrated without them, especially since they're needed for practice.Lucas asks himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_28_DallE3.mp4
28,GPTimage,72.03,4.65,20.17,13.45,4.09,bummer,bummer,swimming,"Lucas eagerly jumps into the pool, ready for his swim lesson.As he reaches the surface, he realizes his new goggles slipped off and floated away.He feels a bit embarrassed and frustrated without them, especially since they're needed for practice.Lucas asks himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_28_GPTimage.mp4
29,DallE3,64.91,4.86,27.19,5.52,7.99,bummer,bummer,field trip,"Sophia was excited as she hopped onto the bus for the field trip to the science museum.As they arrived, she realized she left her wallet with lunch money at home.Her friend offered to share her lunch, but Sophia felt embarrassed for forgetting.She thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_29_DallE3.mp4
29,GPTimage,79.41,4.86,19.35,14.91,4.16,bummer,bummer,field trip,"Sophia was excited as she hopped onto the bus for the field trip to the science museum.As they arrived, she realized she left her wallet with lunch money at home.Her friend offered to share her lunch, but Sophia felt embarrassed for forgetting.She thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_29_GPTimage.mp4
30,DallE3,53.72,2.87,19.7,4.54,8.32,bummer,bummer,birthday party,"Sophie was excited about her birthday party at the park with all her friends.As the party started, she realized the cake she wanted was swapped with a plain one.Her friends noticed and some started to giggle, making Sophie feel a bit embarrassed.Sophie thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_30_DallE3.mp4
30,GPTimage,63.74,2.87,18.29,8.95,4.55,bummer,bummer,birthday party,"Sophie was excited about her birthday party at the park with all her friends.As the party started, she realized the cake she wanted was swapped with a plain one.Her friends noticed and some started to giggle, making Sophie feel a bit embarrassed.Sophie thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_30_GPTimage.mp4
31,DallE3,61.06,4.65,22.88,4.56,9.34,bummer,bummer,vacation,"Liam was looking forward to his beach vacation all year.Upon arriving at the hotel, he discovered they had lost his family's reservation.Now, they had to find a new place to stay for the night.Liam wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_31_DallE3.mp4
31,GPTimage,73.04,4.65,19.62,9.46,4.03,bummer,bummer,vacation,"Liam was looking forward to his beach vacation all year.Upon arriving at the hotel, he discovered they had lost his family's reservation.Now, they had to find a new place to stay for the night.Liam wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_31_GPTimage.mp4
32,DallE3,56.75,4.45,19.47,5.01,7.72,bummer,bummer,birthday party,"Emily was excited for her birthday party at the local park.However, as she arrived, dark clouds began to gather, threatening rain.Some of her friends got worried about getting wet and didn't want to stay.Emily thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_32_DallE3.mp4
32,GPTimage,66.85,4.45,20.09,10.17,3.95,bummer,bummer,birthday party,"Emily was excited for her birthday party at the local park.However, as she arrived, dark clouds began to gather, threatening rain.Some of her friends got worried about getting wet and didn't want to stay.Emily thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_32_GPTimage.mp4
33,DallE3,55.5,4.26,18.43,4.74,9.45,bummer,bummer,soccer,"Jamie was excited to play soccer after school with his friends at the park.When he arrived, he realized he had forgotten his soccer shoes at home.Without them, it was hard to keep up with his friends on the field.Sitting down on the bench, he wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_33_DallE3.mp4
33,GPTimage,65.91,4.26,18.62,10.12,4.13,bummer,bummer,soccer,"Jamie was excited to play soccer after school with his friends at the park.When he arrived, he realized he had forgotten his soccer shoes at home.Without them, it was hard to keep up with his friends on the field.Sitting down on the bench, he wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_33_GPTimage.mp4
34,DallE3,53.44,4.45,20.52,3.44,7.77,bummer,bummer,playing video game,"Jamie was excited to play his favorite video game online after finishing his homework.He turned on the console but realized the internet wasn't working due to an unexpected storm.Jamie tried to troubleshoot, but the connection just wouldn't return.He wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_34_DallE3.mp4
34,GPTimage,62.65,4.45,17.26,7.13,4.07,bummer,bummer,playing video game,"Jamie was excited to play his favorite video game online after finishing his homework.He turned on the console but realized the internet wasn't working due to an unexpected storm.Jamie tried to troubleshoot, but the connection just wouldn't return.He wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_34_GPTimage.mp4
